symbol,n_rows,n_folds,mae_mean,mae_std
AAVEUSDT,17486,4,0.007568108243503949,0.0014569894486477825
BNBUSDT,17486,4,0.003825226691051398,0.0010786246532347307
BTCUSDT,17486,4,0.003284650868411846,0.00020497690466509153
DOGEUSDT,17486,4,0.005171355617827279,0.0007333596884494372
ETHUSDT,17486,4,0.004440014715392067,0.0005578136268703407
HYPEUSDT,10984,4,0.007757508374825561,0.0013459613479689428
INJUSDT,17486,4,0.00947251168409432,0.00028602639412551563
KASUSDT,30984,4,0.006928991616754062,0.0011533027028080615
LINKUSDT,17486,4,0.005468900961044399,0.0009568680435761742
ONDOUSDT,11026,4,0.007455761048118592,0.0009130518499320102
RENDERUSDT,17248,4,0.010473794550917863,0.004679607979541997
SOLUSDT,17486,4,0.005431526209569743,0.0007464867001659658
SUIUSDT,17486,4,0.006387708838803694,0.0009778662446162266
