symbol,n_rows,n_test,return_mae,price_mae,naive_price_mae,price_improvement_ratio,direction_accuracy,threshold,position_frac,stop_loss_pct,take_profit_pct,trade_count,cumulative_pnl,final_equity,mean_pnl,pnl_vol,sharpe,max_drawdown,tp_count,sl_count
BNBUSDT,17486,3498,0.003063446832694075,1.9004430006482793,1.8842081189251,0.9914573172057035,0.4968553459119497,0.002,0.01,0.005,0.01,49,-6.986907220117673,9993.01309277988,-0.1425899432677076,0.646077700583772,-20.663547257312494,-8.833153225887145,13,25
BTCUSDT,17486,3498,0.0031604867950408323,218.22286386199139,215.0809233847913,0.9856021480902794,0.4957118353344768,0.002,0.01,0.005,0.01,55,-8.592075547186166,9991.407924452815,-0.15621955540338484,0.5454808348568806,-26.813693089660603,-8.967788215837572,8,21
ETHUSDT,17486,3498,0.004018539996765047,8.008840123611291,7.834079473985134,0.9781790313043038,0.5008576329331046,0.002,0.01,0.005,0.01,202,-33.997209728746185,9966.002790271252,-0.16830301845913953,0.584052370602297,-26.979931774172396,-34.793429982823,39,86
RENDERUSDT,17248,3450,0.006933349884217777,0.012227916476864744,0.01213768115942029,0.9926205484298835,0.4895652173913044,0.002,0.01,0.005,0.01,243,-59.03328124627192,9940.966718753732,-0.24293531377066632,0.651418944692855,-34.916523659602774,-59.9283374348488,62,153
KASUSDT,30984,6197,0.006189940966222045,0.00023923691106435087,0.00023754461836372442,0.9929262892874785,0.4984670001613684,0.002,0.01,0.005,0.01,369,-81.09913808747282,9918.900861912518,-0.2197808620256716,0.618253466338685,-33.28312113436991,-81.70739867080374,80,203
LINKUSDT,17486,3498,0.004610823935721878,0.040296358647756804,0.039198113207547174,0.972745789518856,0.4588336192109777,0.002,0.01,0.005,0.01,412,-82.25021040358237,9917.74978959643,-0.1996364330184038,0.542679257156248,-34.44270982960975,-83.84355903233518,52,177
SUIUSDT,17486,3498,0.00575077028747339,0.00517589740141962,0.005058976558033162,0.9774105175743264,0.4942824471126358,0.002,0.01,0.005,0.01,324,-85.4923523161969,9914.507647683798,-0.26386528492653366,0.6045190393831706,-40.8670233749512,-86.78562276036973,64,192
ONDOUSDT,11026,2206,0.008187665878384515,0.002883758526564941,0.0028497280145058923,0.9881992504762231,0.5054397098821396,0.002,0.01,0.005,0.01,635,-163.5912799427589,9836.40872005724,-0.2576240629019825,0.6439223132988885,-37.45878473951864,-163.9264785657706,154,418
HYPEUSDT,10984,2197,0.007915300354450497,0.46731293692825376,0.4142603550295858,0.88647311532312,0.5034137460172963,0.002,0.01,0.005,0.01,798,-214.545392610004,9785.454607389993,-0.2688538754511328,0.6200104699217014,-40.599250006620416,-214.54539261000718,173,513
DOGEUSDT,17486,3498,0.005060717115280265,0.00046292786957997467,0.0004122813036020583,0.890595124411349,0.4939965694682676,0.002,0.01,0.005,0.01,1108,-244.11166706586835,9755.88833293415,-0.22031738904861764,0.4769408459833943,-43.249888446002224,-244.91066731584942,100,404
AAVEUSDT,17486,3498,0.006663921850406017,0.6160495738375862,0.5600800457404231,0.9091476879879821,0.4854202401372213,0.002,0.01,0.005,0.01,1034,-251.66472553378009,9748.335274466204,-0.24338948310810454,0.5806296588409712,-39.24671625633416,-251.7641697687177,183,560
INJUSDT,17486,3498,0.009126271950335763,0.03829142553820618,0.0329190966266438,0.8596989055369064,0.4942824471126358,0.002,0.01,0.005,0.01,1046,-254.60432373800091,9745.395676262007,-0.2434075752753355,0.5442059271125743,-41.876613702718934,-256.98693231384823,153,513
SOLUSDT,17486,3498,0.0050441244431295475,0.40706189828933875,0.3584476843910804,0.8805729199845094,0.49942824471126357,0.002,0.01,0.005,0.01,1657,-355.7145103881399,9644.28548961189,-0.2146738143561496,0.467330102476636,-43.00867366737639,-355.0150102631105,160,574
